valeur_fonciere,surface_reelle_bati,nombre_pieces_principales,code_postal,nom_commune,adresse_nom_voie,type_local,latitude,longitude
580000.0,20.0,2.0,75018,Paris 18e Arrondissement,RUE DE SOFIA,Appartement,48.88449,2.348168
580000.0,25.0,2.0,75018,Paris 18e Arrondissement,RUE DE SOFIA,Appartement,48.88449,2.348168
605000.0,42.0,3.0,75003,Paris 3e Arrondissement,RUE CHARLOT,Appartement,48.863374,2.362871
716250.0,69.0,3.0,75009,Paris 9e Arrondissement,RUE PAUL ESCUDIER,Appartement,48.880353,2.332324
320000.0,33.0,2.0,75010,Paris 10e Arrondissement,RUE DU CHATEAU LANDON,Appartement,48.879658,2.362613
320000.0,29.0,1.0,75020,Paris 20e Arrondissement,AV GAMBETTA,Appartement,48.872782,2.405513
220000.0,36.0,2.0,75020,Paris 20e Arrondissement,RUE ELYSEE MENILMONTANT,Appartement,48.869335,2.386648
280000.0,28.0,2.0,75020,Paris 20e Arrondissement,RUE DES HAIES,Appartement,48.852508,2.400622
200000.0,27.0,2.0,75019,Paris 19e Arrondissement,RUE DE CRIMEE,Appartement,48.891167,2.375845
677500.0,58.0,3.0,75003,Paris 3e Arrondissement,RUE DES GRAVILLIERS,Appartement,48.864674,2.353479
445000.0,47.0,2.0,75019,Paris 19e Arrondissement,RUE GEORGES LARDENNOIS,Appartement,48.877955,2.375861
425890.0,52.0,2.0,75020,Paris 20e Arrondissement,BD MORTIER,Appartement,48.873089,2.408031
660000.0,81.0,3.0,75018,Paris 18e Arrondissement,RUE DES POISSONNIERS,Appartement,48.895742,2.352517
820000.0,70.0,3.0,75017,Paris 17e Arrondissement,RUE DE ROME,Appartement,48.883017,2.319232
293000.0,22.0,1.0,75002,Paris 2e Arrondissement,RUE SAINT-MARC,Appartement,48.870214,2.341378
405970.0,40.0,3.0,75010,Paris 10e Arrondissement,RUE LOUIS BLANC,Appartement,48.881942,2.364455
505000.0,48.0,2.0,75003,Paris 3e Arrondissement,RUE DU PERCHE,Appartement,48.861123,2.361158
